status,country,filed_under,artist,sources_say,mb_genres,mb_tags,wikidata_genres,spotify_genres,suggested,correct_genre,action,notes
mismatch,Argentina,Disco,Miranda!,Pop; Electronic; Techno,electropop; pop; techno,electropop; pop; synthpop; techno,electropop,,Pop,,,
mismatch,Argentina,Disco,Thomass Jackson,Electronic,electronic,electronic,,,Electronic,,,
mismatch,Argentina,Electronic,Bersuit Vergarabat,Rock,alternative rock; latin rock,alternative rock; latin rock,rock en español,,Rock,,,
mismatch,Argentina,Hip Hop,Nathy Peluso,Pop; Soul; Jazz; World,,,Latin pop; Latin R&B; Latin jazz; salsa,,Pop,,,
mismatch,Argentina,Indie,Marilina Bertoldi,Rock,,,alternative rock,,Rock,,,
mismatch,Argentina,Jazz,Astor Piazzolla,World; Classical,classical; nuevo tango; tango,argentina; argentinian; bandoneon; bandoneonist; bandoneón; buenos aires; classical; composer; latinamerican; nuevo tango; tangazo; tango; tango nuevo; world,opera; nuevo tango; tango,,World,,,
mismatch,Argentina,Jazz,Pedro Aznar,Rock,rock,rock,rock music,,Rock,,,
mismatch,Brazil,Bossa Nova,Stan Getz,Jazz,,,jazz; bebop,,Jazz,,,
mismatch,Brazil,Electronic,Gui Boratto,Techno,,,minimal techno,,Techno,,,
mismatch,Brazil,Folk,Geraldo Vandre,World; Bossa Nova,mpb,mpb,música popular brasileira; bossa nova; nueva canción,,World,,,
mismatch,Brazil,Funk,Jorge Ben Jor,World; Bossa Nova; Rock; Folk,bossa nova; mpb; samba; samba-rock; singer-songwriter,bossa nova; mpb; samba; samba-rock; singer-songwriter,música popular brasileira; bossa nova; samba-jazz; samba rock,,World,,,
mismatch,Brazil,Indie,Marcelo Camelo,Rock; Folk,,,folk rock,,Rock,,,
mismatch,Brazil,Indie,Tulipa Ruiz,World,mpb,brazilian; mpb,música popular brasileira,,World,,,
mismatch,Brazil,Pop,Maria Bethania,World,mpb,mpb; promessa,música popular brasileira; samba; monologue,,World,,,
mismatch,Brazil,Rock,Legiao Urbana,Punk,,,post-punk,,Punk,,,
mismatch,France,Disco,Sebastien Tellier,Electronic; Pop; Ambient; House,ambient pop; downtempo; electronic; french house; pop,alternative/indie rock; ambient pop; dance and electronica; downtempo; electronic; france; francophone; français; french; french house; french indie pop; indie electronic; pop; synthpop; électronique,electronic music,,Electronic,,,
mismatch,France,Folk,Edith Piaf,World; Pop,cabaret; chanson française; chanson réaliste; pop,cabaret; chanson; chanson française; chanson réaliste; chanteuse réaliste; french; pop,chanson; chanson réaliste; ballade,,World,,,
mismatch,France,Folk,Jacques Brel,World,,,chanson,,World,,,
mismatch,France,Folk,Serge Gainsbourg,Rock; Reggae; World; Jazz,chanson française; jazz; reggae; rock,chanson; chanson française; composer; european; eurovision; french; french pop; french rock; initials b.b.; jazz; reggae; rock; rock and indie; server name; singer; soundtracks; variété française,chanson; jazz; pop music; reggae; rock music; progressive rock; cha-cha-cha; mambo; funk; middle of the road; psychedelic pop,,Rock,,,
mismatch,France,Indie,La Femme,Rock; Electronic; Pop; Punk,acid jazz; coldwave; electronic; neo-psychedelia; pop; post-punk; psychedelic; psychedelic rock; rock; surf; synth-pop,acid jazz; coldwave; electronic; neo-psychedelia; pop; post-punk; psychedelic; psychedelic rock; rock; surf; synth-pop; upbeat; yèyè,chanson,,Rock,,,
mismatch,France,Indie,M83,Electronic; Rock; Ambient,,,electronic music; shoegaze; ambient music,,Electronic,,,
mismatch,France,Indie,Yelle,Pop; Electronic,electropop; pop,electropop; france; francophone; français; french; pop,pop music,,Pop,,,
mismatch,France,Rock,Telephone,Pop; Electronic,,,electropop; dance-pop,,Pop,,,
mismatch,France,Soul,Christine and the Queens,Pop; Electronic; Indie,art pop; electropop; indietronica; pop,art pop; electropop; indietronica; pop; queer; synthpop,synth-pop; indie pop; art pop; electropop; experimental pop,,Pop,,,
mismatch,France,Soul,Stromae,Electronic; Hip Hop; Pop; House,,,Belgian hip hop; house music; electronic music; electropop; synth-pop; new beat; Eurodance; hip-hop,,Electronic,,,
mismatch,France,Techno,Justice,Electronic; House; Disco; Pop,dance; electro; electro house; electro-disco; electronic; french electro; french house; house; new rave; nu disco; synthwave,dance; electro; electro house; electro-disco; electronic; european; france; français; french; french electro; french house; french touch; house; new rave; nu disco; synthwave,pop music,,Electronic,,,
mismatch,Ghana,Disco,George Darko,World,burger-highlife; highlife,burger-highlife; highlife,burger-highlife,,World,,,
mismatch,Ghana,Disco,Marijata,Funk; World,afrobeat; highlife,afrobeat; highlife,,,Funk,,,
mismatch,Ghana,Funk,Pat Thomas,World; Jazz,highlife,highlife,jazz; free improvisation,,World,,,
mismatch,Ghana,Jazz,Ebo Taylor,Funk; World,afrobeat; funk; highlife,afrobeat; afrofunk; fela; funk; ghana; highlife,highlife,,Funk,,,
mismatch,Ghana,Jazz,Gyedu-Blay Ambolley,Funk,,,Afrobeat,,Funk,,,
mismatch,Ghana,Pop,Kwesi Arthur,Afrobeats,,,hiplife; Afrobeats,,Afrobeats,,,
mismatch,Ghana,Pop,Stonebwoy,Reggae,dancehall; reggae,afro dance hall; afropop; dancehall; reggae,African popular music,,Reggae,,,
mismatch,India,Ambient,Karsh Kale,Electronic; World,,,electronic music; world music,,Electronic,,,
mismatch,India,Ambient,Talvin Singh,Electronic; World,,,electronic music; world music,,Electronic,,,
